post,class,implicit_class,target,implied_statement
jews push 4immigration and white genocide :,implicit_hate,white_grievance,Jews,Jews advocate for an end to whites.
another war for israel . more white people will die for ( ( ( them ) ) ) and their greediness,implicit_hate,white_grievance,Jews,Jews are greedy
jewish harvard professor noel ignatiev wants to abolish the white race via,implicit_hate,white_grievance,Jews,Jews want white genocide
jews reveal their vitriolic hatred of the white race after charlottesville #unitetheright the realist report,implicit_hate,white_grievance,Jews,Jews hate white people.
whites need to identify as white because jews are targeting us as whites,implicit_hate,white_grievance,Jews,Jews are out to get whites
" jews  splc hysterically demonize  "" racist "" ""  "" "" white supremacist "" "" websites : """,implicit_hate,white_grievance,Jews,Jews attack whites
#germans are great people stop #jews an others from degrading your race an be #proud you #white #heritage,implicit_hate,white_grievance,Jews,Jews lower other races down.
breitbart is the #fakeright and puts israel above their white audience .,implicit_hate,white_grievance,Jews,Jews are not white
in the book ' eye for an eye '  #jewish author john sack brags about the evils his people perpetrated on the germans after the war . #torture,implicit_hate,white_grievance,Jews,Jews attack whites
jared taylor won't even publicly stand with spencer . he's going to miss the train  he's more concerned about appeasing jews .,implicit_hate,white_grievance,Jews,someone is appeasing the jews.
jew caught and tortured rudolkf hoess : uncle ...,implicit_hate,white_grievance,Jews,Jews are evil.
jewish harvard professor wants to abolish the white race via but i bet jews are okay in his eyes .,implicit_hate,white_grievance,Jews,Jews hate whites
jews on ' white genocide ' #whitegenocide via mass immigration .,implicit_hate,white_grievance,Jews,Jews want the white race to fall
real quotes from anti-white globalist jew,implicit_hate,white_grievance,Jews,Jews oppose whites.
well that's because there is no such thing as white privilege ! that's just a sham created by an old  evil  communist white guy by the name of soros to divide our country ! only self loathing  white sjw with a guilty conscience for their own bias  believe the white privilege myth !,implicit_hate,white_grievance,Jews,Jews are devious and deceitful
white supremacist don't like jews are black ppl . trumps family is jewish . trump helps african american,implicit_hate,white_grievance,Jews,Jews are against the white race
i didn't drag jews anywhere . jews have been leading white genocide and an,implicit_hate,white_grievance,Jews,Jews are killing white people.
jewish harvard professor wants to abolish the white race ! via,implicit_hate,white_grievance,Jews,Jews hate white people.
leftist view is white = racist . it comes from judaism and hatred of anything roman . check this from 25:00+,implicit_hate,white_grievance,Jews,Jews hate white leftists
... also  organized jewry and anti-white,implicit_hate,white_grievance,Jews,Jews are against white people.
a racist : any white man who argues with a jew .,implicit_hate,white_grievance,Jews,Jews are dishonest
jews are doing to whites what they did to palestinians . palestinian genocide  then white genocide .,implicit_hate,white_grievance,Jews,Jews don't like white people.
the globalist multicultural anti-white minions gonna hate . whatcha gonna do  smh . keep it up jess  we're winning .,implicit_hate,white_grievance,Jews,Jews are minions that are against white people.
honestly ~ i didn't know those white-looking individuals who badmouthed white people are ( ( ( them ) ) ) inside,implicit_hate,white_grievance,Jews,Jews hate white people
not to mention jews are listed as whites  so the white per capita number is already distorted ...,implicit_hate,white_grievance,Jews,Jews are lower than whites.
" rt german ( and other white )  "" leaders "" "" are not committed to their own people - they only serve jews and the jewish state """,explicit_hate,white_grievance,Jews,Jews manipulate and control others.
absolutely  jews keep dying at the hands of white jews in order for the few je,implicit_hate,white_grievance,white Jews,White Jews are killers.
he's bitter stalin eventually cracked down on the jews . too late for the white russians,implicit_hate,white_grievance,Jews,Jews blame others
how did less than 3 % of pop acquire so much clout ? oops  forgot it is anti-semitic of me to ask that question .,implicit_hate,white_grievance,Jews,Jews crave control
modern heretic : jew explains plan for white disarmament  genocide #withjewswelose,implicit_hate,white_grievance,Jews,Jews wish to dismantle the white race.
the white holocaust of ukraine from russian jew communists .,implicit_hate,white_grievance,Jews,Jews kill whites
yes the white race is a very narrow group .. lol .. he tried to free whites from jew control .. he failed .. you're a slave,implicit_hate,white_grievance,Jews,Jews manipulate whites
advocating in favor of white people is verboten goyim .,implicit_hate,white_grievance,Jews,Jews are anti-white
amren is not pro white i think . when i offered to speak i was answered by a jew & then no one got back to me,implicit_hate,white_grievance,Jews,Jews are anti-white
but it's because jooos . if it was any other ethnicity  you'd be a little less ticked . tell me i'm wrong .,implicit_hate,white_grievance,Jews,Jews are inferior
jewish harvard professor noel ignatiev wants to abolish the white race via via,implicit_hate,white_grievance,Jews,Jews hate white people
jews are the cause of white genocide they have taken a side to extinguish ...,implicit_hate,white_grievance,Jews,Jews are responsible for white genocide
" replace  "" jew "" "" with "" "" cis white male "" "" and you sound no different from an sjw . """,implicit_hate,white_grievance,Jews,Jews are inferior
