	block0	membership_answer
mut_205	0.17	1
mut_206	0.27	1
mut_207	0.12	1
mut_208	0.22	1
mut_209	0.22	1
mut_210	0.18	1
mut_211	0.2	1
mut_212	0.22	1
mut_213	0.24	1
mut_214	0.18	1
mut_215	0.2	1
mut_216	0.25	1
mut_217	0.16	1
mut_218	0.21	1
mut_219	0.2	1
mut_220	0.17	1
mut_221	0.2	1
mut_222	0.17	1
mut_223	0.19	1
mut_224	0.26	1
mut_225	0.22	1
mut_226	0.2	1
mut_227	0.18	1
mut_228	0.19	1
mut_229	0.18	1
mut_230	0.2	1
mut_231	0.23	1
mut_232	0.3	1
mut_233	0.14	1
mut_234	0.22	1
mut_235	0.18	1
mut_236	0.26	1
mut_237	0.18	1
mut_238	0.23	1
mut_239	0.2	1
mut_240	0.19	1
mut_241	0.17	1
mut_242	0.18	1
mut_243	0.23	1
mut_244	0.18	1
mut_245	0.24	1
mut_246	0.21	1
mut_247	0.24	1
mut_248	0.22	1
mut_249	0.2	1
mut_250	0.22	1
mut_251	0.04	2
mut_252	0.01	2
mut_253	0.02	2
mut_254	0.05	2
mut_255	0.03	2
mut_256	0.02	2
mut_257	0.03	2
mut_258	0.03	2
mut_259	0.06	2
mut_260	0.04	2
mut_261	0.02	2
mut_262	0.02	2
mut_263	0.04	2
mut_264	0.02	2
mut_265	0.05	2
mut_266	0.02	2
mut_267	0.01	2
mut_268	0.05	2
mut_269	0.01	2
mut_270	0.02	2
mut_271	0.02	2
mut_272	0.05	2
mut_273	0.05	2
mut_274	0.05	2
mut_275	0.04	2
mut_276	0.04	2
mut_277	0.02	2
mut_278	0.01	2
mut_279	0.04	2
mut_280	0.02	2
mut_281	0.02	2
mut_282	0.04	2
mut_283	0.03	2
mut_284	0.04	2
mut_285	0.03	2
mut_286	0.05	2
mut_287	0.01	2
mut_288	0.03	2
mut_289	0.07	2
mut_290	0.03	2
mut_291	0.04	2
mut_292	0.01	2
mut_293	0.02	2
mut_294	0.02	2
mut_295	0.03	2
mut_296	0.02	2
mut_297	0.03	2
mut_298	0.03	2
mut_299	0.02	2
mut_300	0.03	2
mut_301	0.02	2
mut_302	0.06	2
mut_303	0.02	2
mut_304	0.02	2
mut_305	0.02	2
mut_306	0.02	2
mut_307	0.01	2
mut_308	0.02	2
mut_309	0.05	2
mut_310	0.01	2
mut_311	0.02	2
mut_312	0.03	2
mut_313	0.04	2
mut_314	0.02	2
mut_315	0.03	2
mut_316	0.02	2
mut_317	0.02	2
mut_318	0.02	2
mut_319	0.02	2
mut_320	0.01	2
mut_321	0.03	2
mut_322	0.05	2
mut_323	0.02	2
mut_324	0.03	2
mut_325	0.03	2
mut_326	0.03	2
mut_327	0.07	2
mut_328	0.03	2
mut_329	0.03	2
mut_330	0.03	2
mut_331	0.02	2
mut_332	0.04	2
mut_333	0.02	2
mut_334	0.05	2
mut_335	0.01	2
mut_336	0.04	2
mut_337	0.04	2
mut_338	0.02	2
mut_339	0.02	2
mut_340	0.03	2
mut_341	0.03	2
mut_342	0.05	2
mut_343	0.01	2
mut_344	0.02	2
mut_345	0.04	2
mut_346	0.02	2
mut_347	0.03	2
mut_348	0.02	2
mut_349	0.02	2
mut_350	0.02	2
mut_351	0.04	2
mut_352	0.02	2
mut_353	0.04	2
mut_354	0.01	2
mut_355	0.03	2
mut_356	0.03	2
mut_357	0.03	2
mut_358	0.02	2
mut_359	0.01	2
mut_360	0.01	2
mut_361	0.03	2
mut_362	0.02	2
mut_363	0.01	2
mut_364	0.02	2
mut_365	0.03	2
mut_366	0.05	2
mut_367	0.03	2
mut_368	0.05	2
mut_369	0.04	2
mut_370	0.02	2
mut_371	0.04	2
mut_372	0.02	2
mut_373	0.01	2
mut_374	0.02	2
mut_375	0.02	2
mut_376	0.01	2
mut_377	0.01	2
mut_378	0.03	2
mut_379	0.17	3
mut_380	0.17	3
mut_381	0.12	3
mut_382	0.1	3
mut_383	0.11	3
mut_384	0.17	3
mut_385	0.13	3
mut_386	0.09	3
mut_387	0.12	3
mut_388	0.11	3
mut_389	0.16	3
mut_390	0.15	3
mut_391	0.17	3
mut_392	0.15	3
mut_393	0.1	3
mut_394	0.11	3
mut_395	0.11	3
mut_396	0.11	3
mut_397	0.09	3
mut_398	0.12	3
mut_399	0.12	3
mut_400	0.11	3
mut_401	0.1	3
mut_402	0.07	3
mut_403	0.12	3
mut_404	0.13	3
mut_405	0.08	3
mut_406	0.1	3
mut_407	0.11	3
mut_408	0.1	3
mut_409	0.11	3
mut_410	0.13	3
mut_411	0.11	3
mut_412	0.14	3
mut_413	0.09	3
mut_414	0.12	3
mut_415	0.13	3
mut_416	0.11	3
mut_417	0.14	3
mut_418	0.14	3
mut_419	0.17	3
mut_420	0.1	3
mut_421	0.08	3
mut_422	0.11	3
mut_423	0.21	3
mut_424	0.14	3
mut_425	0.09	3
mut_426	0.14	3
mut_427	0.13	3
mut_428	0.06	3
mut_429	0.1	3
mut_430	0.09	3
mut_431	0.1	3
mut_432	0.15	3
mut_433	0.11	3
mut_434	0.09	3
mut_435	0.13	3
mut_436	0.11	3
mut_437	0.09	3
mut_438	0.17	3
mut_439	0.12	3
mut_440	0.15	3
mut_441	0.11	3
mut_442	0.1	3
mut_443	0.13	3
mut_444	0.14	3
mut_445	0.12	3
mut_446	0.14	3
mut_447	0.11	3
mut_448	0.09	3
mut_449	0.16	3
mut_450	0.17	3
mut_451	0.09	3
mut_452	0.14	3
mut_453	0.14	3
mut_454	0.08	3
mut_455	0.14	3
mut_456	0.12	3
mut_457	0.07	3
mut_458	0.12	3
mut_459	0.11	3
mut_460	0.1	3
mut_461	0.13	3
mut_462	0.11	3
mut_463	0.1	3
mut_464	0.1	3
mut_465	0.08	3
mut_466	0.14	3
mut_467	0.12	3
mut_468	0.12	3
mut_469	0.09	3
mut_470	0.11	3
mut_471	0.17	3
mut_472	0.14	3
mut_473	0.14	3
mut_474	0.14	3
mut_475	0.1	3
mut_476	0.09	3
mut_477	0.13	3
mut_478	0.09	3
mut_479	0.13	3
mut_480	0.1	3
mut_481	0.13	3
mut_482	0.13	3
mut_483	0.12	3
mut_484	0.09	3
mut_485	0.11	3
mut_486	0.14	3
mut_487	0.11	3
mut_488	0.12	3
mut_489	0.11	3
mut_490	0.12	3
mut_491	0.18	3
mut_492	0.12	3
mut_493	0.14	3
mut_494	0.06	3
mut_495	0.15	3
mut_496	0.11	3
mut_497	0.12	3
mut_498	0.11	3
mut_499	0.07	3
