Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy	Classification
193	Spectrogram 1	1	18230.527750000	18231.807750000	34.0	120.0	1.0000	bdf
194	Spectrogram 1	1	18950.143750000	18951.679750000	34.0	120.0	1.0000	bdf
195	Spectrogram 1	1	20862.719750000	20864.767750000	34.0	120.0	1.0000	bdf
196	Spectrogram 1	1	22163.711750000	22164.735750000	34.0	120.0	1.0000	
197	Spectrogram 1	1	22399.999750000	22401.023750000	34.0	120.0	1.0000	
198	Spectrogram 1	1	22487.551750000	22488.831750000	34.0	120.0	1.0000	
199	Spectrogram 1	1	22489.343750000	22490.879750000	34.0	120.0	1.0000	
200	Spectrogram 1	1	22963.711750000	22964.991750000	34.0	120.0	1.0000	
201	Spectrogram 1	1	24657.919750000	24660.223750000	34.0	120.0	1.0000	bdt
202	Spectrogram 1	1	24664.063750000	24666.367750000	34.0	120.0	1.0000	bdt
203	Spectrogram 1	1	24697.599750000	24701.439750000	34.0	120.0	1.0000	bdt
204	Spectrogram 1	1	24714.495750000	24717.823750000	34.0	120.0	1.0000	bdt
205	Spectrogram 1	1	24753.663750000	24757.503750000	34.0	120.0	1.0000	bdt
206	Spectrogram 1	1	24778.239750000	24780.031750000	34.0	120.0	1.0000	bdt
207	Spectrogram 1	1	24825.855750000	24829.183750000	34.0	120.0	1.0000	bdt
208	Spectrogram 1	1	24853.503750000	24854.783750000	34.0	120.0	1.0000	
209	Spectrogram 1	1	24855.039750000	24856.063750000	34.0	120.0	1.0000	
210	Spectrogram 1	1	24856.831750000	24860.927750000	34.0	120.0	1.0000	bdt
211	Spectrogram 1	1	24903.167750000	24905.727750000	34.0	120.0	1.0000	bdt
212	Spectrogram 1	1	24909.823750000	24912.127750000	34.0	120.0	1.0000	bdt
213	Spectrogram 1	1	24923.391750000	24927.999750000	34.0	120.0	1.0000	bdt
214	Spectrogram 1	1	25029.375750000	25031.935750000	34.0	120.0	1.0000	bdf
215	Spectrogram 1	1	25076.223750000	25081.343750000	34.0	120.0	1.0000	bdf
216	Spectrogram 1	1	25324.543750000	25325.823750000	34.0	120.0	1.0000	bdf
217	Spectrogram 1	1	26794.495750000	26795.519750000	34.0	120.0	1.0000	
218	Spectrogram 1	1	26824.703750000	26825.983750000	34.0	120.0	1.0000	
219	Spectrogram 1	1	26889.215750000	26890.239750000	34.0	120.0	1.0000	bdf
220	Spectrogram 1	1	26964.991750000	26966.015750000	34.0	120.0	1.0000	
221	Spectrogram 1	1	27036.415750000	27037.695750000	34.0	120.0	1.0000	bdf
222	Spectrogram 1	1	27277.823750000	27279.615750000	34.0	120.0	1.0000	bdf
223	Spectrogram 1	1	27750.911750000	27751.935750000	34.0	120.0	1.0000	bdf
224	Spectrogram 1	1	27961.343750000	27962.879750000	34.0	120.0	1.0000	bdf
225	Spectrogram 1	1	28657.919750000	28659.711750000	34.0	120.0	1.0000	bdf
226	Spectrogram 1	1	28788.735750000	28789.759750000	34.0	120.0	1.0000	bdf
227	Spectrogram 1	1	29699.071750000	29701.887750000	34.0	120.0	1.0000	bdt
228	Spectrogram 1	1	30021.631750000	30025.471750000	34.0	120.0	1.0000	bdt
229	Spectrogram 1	1	30063.103750000	30065.151750000	34.0	120.0	1.0000	bdt
230	Spectrogram 1	1	30145.023750000	30148.095750000	34.0	120.0	1.0000	bdt
231	Spectrogram 1	1	30369.023750000	30372.095750000	34.0	120.0	1.0000	bdt
232	Spectrogram 1	1	30550.015750000	30552.831750000	34.0	120.0	1.0000	bdt
233	Spectrogram 1	1	30603.519750000	30606.079750000	34.0	120.0	1.0000	bdt
234	Spectrogram 1	1	30774.015750000	30776.575750000	34.0	120.0	1.0000	bdt
235	Spectrogram 1	1	30796.799750000	30800.895750000	34.0	120.0	1.0000	bdt
236	Spectrogram 1	1	31144.191750000	31148.287750000	34.0	120.0	1.0000	bdt
237	Spectrogram 1	1	31161.087750000	31163.647750000	34.0	120.0	1.0000	bdt
238	Spectrogram 1	1	31316.991750000	31321.599750000	34.0	120.0	1.0000	bdt
239	Spectrogram 1	1	31322.367750000	31324.927750000	34.0	120.0	1.0000	
240	Spectrogram 1	1	31339.007750000	31341.311750000	34.0	120.0	1.0000	bdt
241	Spectrogram 1	1	31342.847750000	31344.127750000	34.0	120.0	1.0000	
242	Spectrogram 1	1	31490.303750000	31494.399750000	34.0	120.0	1.0000	bdt
243	Spectrogram 1	1	31494.911750000	31496.447750000	34.0	120.0	1.0000	
244	Spectrogram 1	1	31545.855750000	31548.927750000	34.0	120.0	1.0000	bdt
245	Spectrogram 1	1	31716.095750000	31718.911750000	34.0	120.0	1.0000	bdt
246	Spectrogram 1	1	31933.439750000	31934.463750000	34.0	120.0	1.0000	
247	Spectrogram 1	1	35432.703750000	35433.727750000	34.0	120.0	1.0000	bdf
248	Spectrogram 1	1	37063.167750000	37064.191750000	34.0	120.0	1.0000	bdf
249	Spectrogram 1	1	38706.687750000	38710.271750000	34.0	120.0	1.0000	bdt
250	Spectrogram 1	1	39458.559750000	39459.583750000	34.0	120.0	1.0000	bdf
251	Spectrogram 1	1	39596.031750000	39597.055750000	34.0	120.0	1.0000	bdf
252	Spectrogram 1	1	40027.135750000	40028.159750000	34.0	120.0	1.0000	bdf
253	Spectrogram 1	1	40029.439750000	40030.975750000	34.0	120.0	1.0000	
254	Spectrogram 1	1	40077.311750000	40080.895750000	34.0	120.0	1.0000	bdt
255	Spectrogram 1	1	40141.823750000	40142.847750000	34.0	120.0	1.0000	
256	Spectrogram 1	1	41306.879750000	41308.927750000	34.0	120.0	1.0000	
257	Spectrogram 1	1	41384.959750000	41388.287750000	34.0	120.0	1.0000	bdt
258	Spectrogram 1	1	41433.855750000	41435.135750000	34.0	120.0	1.0000	bdf
259	Spectrogram 1	1	41449.471750000	41451.519750000	34.0	120.0	1.0000	
260	Spectrogram 1	1	41527.295750000	41531.135750000	34.0	120.0	1.0000	bdt
261	Spectrogram 1	1	41583.359750000	41585.151750000	34.0	120.0	1.0000	
262	Spectrogram 1	1	41609.983750000	41613.311750000	34.0	120.0	1.0000	bdt
263	Spectrogram 1	1	41651.455750000	41655.295750000	34.0	120.0	1.0000	bdt
264	Spectrogram 1	1	41675.263750000	41678.591750000	34.0	120.0	1.0000	bdt
265	Spectrogram 1	1	41725.695750000	41729.791750000	34.0	120.0	1.0000	bdt
266	Spectrogram 1	1	41772.799750000	41776.383750000	34.0	120.0	1.0000	bdt
267	Spectrogram 1	1	41816.319750000	41817.343750000	34.0	120.0	1.0000	bdf
268	Spectrogram 1	1	41847.807750000	41849.599750000	34.0	120.0	1.0000	bdf
269	Spectrogram 1	1	41899.519750000	41904.895750000	34.0	120.0	1.0000	bdf
270	Spectrogram 1	1	41908.735750000	41912.063750000	34.0	120.0	1.0000	bdt
271	Spectrogram 1	1	41916.159750000	41917.439750000	34.0	120.0	1.0000	
272	Spectrogram 1	1	41936.895750000	41939.455750000	34.0	120.0	1.0000	
273	Spectrogram 1	1	42017.791750000	42020.863750000	34.0	120.0	1.0000	bdt
274	Spectrogram 1	1	42083.327750000	42085.631750000	34.0	120.0	1.0000	
275	Spectrogram 1	1	42129.151750000	42131.967750000	34.0	120.0	1.0000	
276	Spectrogram 1	1	42248.191750000	42252.031750000	34.0	120.0	1.0000	
277	Spectrogram 1	1	42295.039750000	42298.367750000	34.0	120.0	1.0000	
278	Spectrogram 1	1	42342.655750000	42344.703750000	34.0	120.0	1.0000	
279	Spectrogram 1	1	42369.023750000	42371.583750000	34.0	120.0	1.0000	bdf
280	Spectrogram 1	1	42406.399750000	42408.191750000	34.0	120.0	1.0000	
281	Spectrogram 1	1	42434.559750000	42438.655750000	34.0	120.0	1.0000	bdt
282	Spectrogram 1	1	42469.375750000	42471.167750000	34.0	120.0	1.0000	
283	Spectrogram 1	1	42537.215750000	42540.287750000	34.0	120.0	1.0000	
284	Spectrogram 1	1	42603.007750000	42606.335750000	34.0	120.0	1.0000	
285	Spectrogram 1	1	42642.431750000	42644.991750000	34.0	120.0	1.0000	bdf
286	Spectrogram 1	1	42645.759750000	42646.783750000	34.0	120.0	1.0000	
287	Spectrogram 1	1	42716.927750000	42720.511750000	34.0	120.0	1.0000	bdt
288	Spectrogram 1	1	42779.647750000	42781.695750000	34.0	120.0	1.0000	bdt
289	Spectrogram 1	1	42789.375750000	42790.911750000	34.0	120.0	1.0000	bdf
290	Spectrogram 1	1	42791.167750000	42793.215750000	34.0	120.0	1.0000	
291	Spectrogram 1	1	42813.951750000	42815.999750000	34.0	120.0	1.0000	
292	Spectrogram 1	1	42831.615750000	42834.687750000	34.0	120.0	1.0000	bdt
293	Spectrogram 1	1	42843.647750000	42846.719750000	34.0	120.0	1.0000	bdf
294	Spectrogram 1	1	42852.863750000	42858.751750000	34.0	120.0	1.0000	bdt
295	Spectrogram 1	1	43047.935750000	43048.959750000	34.0	120.0	1.0000	bdf
296	Spectrogram 1	1	43160.831750000	43163.647750000	34.0	120.0	1.0000	
297	Spectrogram 1	1	43223.295750000	43224.831750000	34.0	120.0	1.0000	
298	Spectrogram 1	1	43225.087750000	43226.111750000	34.0	120.0	1.0000	
299	Spectrogram 1	1	43295.999750000	43298.047750000	34.0	120.0	1.0000	bdf
300	Spectrogram 1	1	43429.375750000	43430.399750000	34.0	120.0	1.0000	
301	Spectrogram 1	1	43432.703750000	43433.983750000	34.0	120.0	1.0000	
302	Spectrogram 1	1	43489.791750000	43491.071750000	34.0	120.0	1.0000	
303	Spectrogram 1	1	43502.847750000	43505.151750000	34.0	120.0	1.0000	
304	Spectrogram 1	1	43643.647750000	43647.487750000	34.0	120.0	1.0000	bdt
305	Spectrogram 1	1	43757.823750000	43760.383750000	34.0	120.0	1.0000	bdt
306	Spectrogram 1	1	43921.663750000	43923.967750000	34.0	120.0	1.0000	bdf
307	Spectrogram 1	1	44227.839750000	44228.863750000	34.0	120.0	1.0000	bdf
308	Spectrogram 1	1	44293.375750000	44295.679750000	34.0	120.0	1.0000	bdt
309	Spectrogram 1	1	44378.879750000	44380.927750000	34.0	120.0	1.0000	bdf
310	Spectrogram 1	1	44490.239750000	44491.263750000	34.0	120.0	1.0000	bdf
311	Spectrogram 1	1	44512.767750000	44514.559750000	34.0	120.0	1.0000	
312	Spectrogram 1	1	44621.055750000	44623.871750000	34.0	120.0	1.0000	
313	Spectrogram 1	1	44734.463750000	44738.047750000	34.0	120.0	1.0000	bdt
314	Spectrogram 1	1	44815.871750000	44819.455750000	34.0	120.0	1.0000	bdf
315	Spectrogram 1	1	44838.143750000	44840.703750000	34.0	120.0	1.0000	bdf
316	Spectrogram 1	1	44856.575750000	44860.159750000	34.0	120.0	1.0000	bdf
317	Spectrogram 1	1	44876.799750000	44877.823750000	34.0	120.0	1.0000	
318	Spectrogram 1	1	44878.079750000	44879.871750000	34.0	120.0	1.0000	
319	Spectrogram 1	1	44923.903750000	44926.207750000	34.0	120.0	1.0000	
320	Spectrogram 1	1	44935.935750000	44938.239750000	34.0	120.0	1.0000	bdf
321	Spectrogram 1	1	45042.175750000	45045.247750000	34.0	120.0	1.0000	bdt
322	Spectrogram 1	1	45443.839750000	45445.375750000	34.0	120.0	1.0000	
323	Spectrogram 1	1	45596.927750000	45599.231750000	34.0	120.0	1.0000	
324	Spectrogram 1	1	45843.455750000	45844.479750000	34.0	120.0	1.0000	bdf
325	Spectrogram 1	1	45882.623750000	45887.743750000	34.0	120.0	1.0000	bdf
326	Spectrogram 1	1	45891.327750000	45894.655750000	34.0	120.0	1.0000	
327	Spectrogram 1	1	45895.423750000	45899.263750000	34.0	120.0	1.0000	bdt
328	Spectrogram 1	1	45955.583750000	45956.607750000	34.0	120.0	1.0000	bdf
